Entity,Code,Year,Poverty
Bulgaria,BGR,1997,0.516490479
Bulgaria,BGR,2001,2.507038477
Bulgaria,BGR,2003,0.881488738
Bulgaria,BGR,2006,5.619553012
Bulgaria,BGR,2007,0.442188016
Bulgaria,BGR,2008,1.215443489
Bulgaria,BGR,2009,1.29489643
Bulgaria,BGR,2010,1.978137772
Bulgaria,BGR,2011,2.446429648
Bulgaria,BGR,2012,2.200165441
Bulgaria,BGR,2013,1.783776549
Bulgaria,BGR,2014,1.631154832
Bulgaria,BGR,2015,3.394832585
Bulgaria,BGR,2016,1.94843469
Bulgaria,BGR,2017,1.371766349
Bulgaria,BGR,2018,0.870460562
Bulgaria,BGR,2019,0.912110236
Burkina Faso,BFA,1994,83.2371495
Burkina Faso,BFA,1998,81.63884616
Burkina Faso,BFA,2003,57.39957572
Burkina Faso,BFA,2009,55.41478507
Burkina Faso,BFA,2014,43.8438412
Burkina Faso,BFA,2018,33.66106899
Burundi,BDI,1992,81.89334675
Burundi,BDI,1998,84.70673253
Burundi,BDI,2006,78.60281282
Burundi,BDI,2013,72.79985018
Cameroon,CMR,1996,51.16825715
Cameroon,CMR,2001,26.01385948
Cameroon,CMR,2007,31.77693204
Cameroon,CMR,2014,25.97455471
Canada,CAN,1971,2.249591012
Canada,CAN,1975,0.998014988
Canada,CAN,1981,0.494720888
Canada,CAN,1987,0.221096777
Canada,CAN,1991,0.217573773
Canada,CAN,1994,0.248140968
Canada,CAN,1997,0.499269867
Canada,CAN,1998,0.499315121
Canada,CAN,2000,0.249810481
Canada,CAN,2004,0.243558485
Canada,CAN,2007,0.248252421
Canada,CAN,2010,0.248831004
Canada,CAN,2012,0.24652141
Canada,CAN,2013,0.496485445
Canada,CAN,2014,0.24215805
Canada,CAN,2015,0.24590449
Canada,CAN,2016,0.248713671
Canada,CAN,2017,0.247010647
Cape Verde,CPV,2001,16.57704589
Cape Verde,CPV,2007,8.3587719
Cape Verde,CPV,2015,3.350822897
Central African Republic,CAF,1992,84.13039941
Central African Republic,CAF,2008,65.92623586
Chad,TCD,2003,59.98948426
Chad,TCD,2011,38.07760059
Chad,TCD,2018,33.1926397
Chile,CHL,1987,11.40916021
Chile,CHL,1990,7.924109512
Chile,CHL,1992,4.566454214
Chile,CHL,1994,4.864719951
Chile,CHL,1996,3.354374732
Chile,CHL,1998,3.48250982
Chile,CHL,2000,4.28205255
Chile,CHL,2003,4.01188839
Chile,CHL,2006,1.45034681
Chile,CHL,2009,1.289789108
Chile,CHL,2011,0.609673412
Chile,CHL,2013,0.357674449
Chile,CHL,2015,0.302807623
Chile,CHL,2017,0.287591217
Chile,CHL,2020,0.674660061
China,CHN,1981,88.09111422
China,CHN,1984,75.23345054
China,CHN,1987,60.47261609
China,CHN,1990,66.26837381
China,CHN,1993,56.69396515
China,CHN,1996,41.72179295
China,CHN,1999,40.25520228
China,CHN,2002,31.69700477
China,CHN,2005,18.53583206
China,CHN,2008,14.85294525
China,CHN,2010,11.20540757
China,CHN,2011,7.93679329
China,CHN,2012,6.497061393
China,CHN,2013,1.860511843
China,CHN,2014,1.362431731
China,CHN,2015,0.727202722
China,CHN,2016,0.525072746
China,CHN,2017,0.425473529
China,CHN,2018,0.281523809
China,CHN,2019,0.088953933
China - rural,,1981,95.37281744
China - rural,,1984,84.60499333
China - rural,,1987,72.12176471
China - rural,,1990,78.5831245
China - rural,,1993,71.45566895
China - rural,,1996,54.83312838
China - rural,,1999,55.97665578
China - rural,,2002,48.41677173
China - rural,,2005,30.27738281
China - rural,,2008,26.61600586
China - rural,,2010,21.34362305
China - rural,,2011,15.48541992
China - rural,,2012,13.02009277
China - rural,,2013,3.390671387
China - rural,,2014,2.402099609
China - rural,,2015,1.248765869
China - rural,,2016,0.992469482
China - rural,,2017,0.821605225
China - rural,,2018,0.577513428
China - rural,,2019,0.162557373
China - urban,,1981,59.17785156
China - urban,,1984,42.39654053
China - urban,,1987,24.10186035
China - urban,,1990,32.01043457
China - urban,,1993,20.73339355
China - urban,,1996,13.75236816
China - urban,,1999,10.88428955
China - urban,,2002,4.904040527
China - urban,,2005,2.664498291
China - urban,,2008,1.340300293
China - urban,,2010,0.748377686
China - urban,,2011,0.540899658
China - urban,,2012,0.41885376
China - urban,,2013,0.504285889
China - urban,,2014,0.485979004
China - urban,,2015,0.309012451
China - urban,,2016,0.168659668
China - urban,,2017,0.138148193
China - urban,,2018,0.077125244
China - urban,,2019,0.040511475
Colombia,COL,1992,8.954667255
Colombia,COL,1996,16.65871825
Colombia,COL,1999,20.36367604
Colombia,COL,2000,16.75300993
Colombia,COL,2001,20.14607379
Colombia,COL,2002,13.16128495
Colombia,COL,2003,12.13306586
Colombia,COL,2004,11.18968627
Colombia,COL,2005,9.804271197
Colombia,COL,2008,10.39598356
Colombia,COL,2009,8.973782565
Colombia,COL,2010,7.751830521
Colombia,COL,2011,6.343444785
Colombia,COL,2012,6.247937114
Colombia,COL,2013,5.646797682
Colombia,COL,2014,5.034454067
Colombia,COL,2015,4.599995525
Colombia,COL,2016,4.528074891
Colombia,COL,2017,4.027637465
Colombia,COL,2018,4.187557899
Colombia,COL,2019,4.940732633
Colombia,COL,2020,10.31591638
Colombia - urban,,1980,19.78143555
Colombia - urban,,1988,14.41141602
Colombia - urban,,1989,13.28859375
Colombia - urban,,1991,12.60513672
Comoros,COM,2004,14.98353302
Comoros,COM,2014,19.07085981
Congo,COG,2005,55.09105488
Congo,COG,2011,39.56788295
Costa Rica,CRI,1981,25.1500547
Costa Rica,CRI,1986,13.47002027
Costa Rica,CRI,1989,10.43455443
Costa Rica,CRI,1990,10.21536538
Costa Rica,CRI,1991,11.83511193
Costa Rica,CRI,1992,9.706139138
Costa Rica,CRI,1993,8.110309026
Costa Rica,CRI,1994,6.776356964
Costa Rica,CRI,1995,6.971051419
Costa Rica,CRI,1996,8.075444742
Costa Rica,CRI,1997,6.605802635
Costa Rica,CRI,1998,5.091960128
Costa Rica,CRI,1999,6.573529713
Costa Rica,CRI,2000,6.720133616
Costa Rica,CRI,2001,4.859498646
Costa Rica,CRI,2002,4.568478201
Costa Rica,CRI,2003,4.572869765
Costa Rica,CRI,2004,4.386112179
Costa Rica,CRI,2005,3.198291867
Costa Rica,CRI,2006,3.183398468
Costa Rica,CRI,2007,1.757046942
Costa Rica,CRI,2008,2.343981279
Costa Rica,CRI,2009,2.435669747
Costa Rica,CRI,2010,1.465901299
Costa Rica,CRI,2011,1.647164667
Costa Rica,CRI,2012,1.633421163
Costa Rica,CRI,2013,1.58692521
Costa Rica,CRI,2014,1.493162753
Costa Rica,CRI,2015,1.541472775
Costa Rica,CRI,2016,1.265724898
Costa Rica,CRI,2017,1.057941227
Costa Rica,CRI,2018,1.455599555
Costa Rica,CRI,2019,1.012817215
Costa Rica,CRI,2020,2.063508544
Cote d'Ivoire,CIV,1985,7.580813056
Cote d'Ivoire,CIV,1986,3.530753301
Cote d'Ivoire,CIV,1987,7.407535537
Cote d'Ivoire,CIV,1988,11.86590629
Cote d'Ivoire,CIV,1992,23.70635249
Cote d'Ivoire,CIV,1995,21.60188359
Cote d'Ivoire,CIV,1998,27.04362894
Cote d'Ivoire,CIV,2002,24.37730626
Cote d'Ivoire,CIV,2008,30.43707478
Cote d'Ivoire,CIV,2015,29.83408269
Cote d'Ivoire,CIV,2018,9.184591858
Croatia,HRV,1998,0
Croatia,HRV,1999,0.235784912
Croatia,HRV,2000,0.089329834
Croatia,HRV,2001,0.077125244
Croatia,HRV,2004,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0.034421198
Croatia,HRV,2010,0
Croatia,HRV,2011,0.664936059
Croatia,HRV,2012,0.835570547
Croatia,HRV,2013,0.728868108
Croatia,HRV,2014,0.981814072
Croatia,HRV,2015,0.610296713
Croatia,HRV,2016,0.620611197
Croatia,HRV,2017,0.529763512
Croatia,HRV,2018,0.437550465
Croatia,HRV,2019,0.259925851
Cyprus,CYP,2004,0.094067947
Cyprus,CYP,2005,0.006351349
Cyprus,CYP,2006,0
Cyprus,CYP,2007,0.025159187
Cyprus,CYP,2008,0.008470223
Cyprus,CYP,2009,0.111964951
Cyprus,CYP,2010,0.022148005
Cyprus,CYP,2011,0.008045135
Cyprus,CYP,2012,0.004237799
Cyprus,CYP,2013,0.097018569
Cyprus,CYP,2014,0.078329797
Cyprus,CYP,2015,0
Cyprus,CYP,2016,0.041149011
Cyprus,CYP,2017,0.032828864
Cyprus,CYP,2018,0.016506581
Cyprus,CYP,2019,0.153831786
Czechia,CZE,1992,0
Czechia,CZE,1993,0.016102295
Czechia,CZE,1996,0
Czechia,CZE,2002,0
Czechia,CZE,2004,0
Czechia,CZE,2005,0.004932986
Czechia,CZE,2006,0.06581068
Czechia,CZE,2007,0.115902564
Czechia,CZE,2008,0.032779836
Czechia,CZE,2009,0.012035621
Czechia,CZE,2010,0.036178334
Czechia,CZE,2011,0.046060844
Czechia,CZE,2012,0.032207156
Czechia,CZE,2013,0.045690929
Czechia,CZE,2014,0
Czechia,CZE,2015,0.008764511
Czechia,CZE,2016,0
Czechia,CZE,2017,0
Czechia,CZE,2018,0.008861816
Czechia,CZE,2019,0
Democratic Republic of Congo,COD,2004,94.27898259
Democratic Republic of Congo,COD,2012,77.15222368
Denmark,DNK,1987,0.497395525
Denmark,DNK,1992,0.493952007
Denmark,DNK,1995,0
Denmark,DNK,2000,0
Denmark,DNK,2003,0.3432746
Denmark,DNK,2004,0.314980658
Denmark,DNK,2005,0.254847565
Denmark,DNK,2006,0.137509206
Denmark,DNK,2007,0.01391448
Denmark,DNK,2008,0.113210566
Denmark,DNK,2009,0.49477512
Denmark,DNK,2010,0.057294009
Denmark,DNK,2011,0
Denmark,DNK,2012,0
Denmark,DNK,2013,0.310915646
Denmark,DNK,2014,0.202610917
Denmark,DNK,2015,0.175425859
Denmark,DNK,2016,0.278386959
Denmark,DNK,2017,0.140905154
Denmark,DNK,2018,0.170111758
Denmark,DNK,2019,0.251407179
Djibouti,DJI,2002,20.19600125
Djibouti,DJI,2012,18.18139302
Djibouti,DJI,2013,22.31681003
Djibouti,DJI,2017,17.00699173
Dominican Republic,DOM,1986,5.47765625
Dominican Republic,DOM,1989,14.09409668
Dominican Republic,DOM,1992,5.648520508
Dominican Republic,DOM,1996,5.333109431
Dominican Republic,DOM,1997,5.630864234
Dominican Republic,DOM,2000,5.547384151
Dominican Republic,DOM,2001,4.106956535
Dominican Republic,DOM,2002,5.911267738
Dominican Republic,DOM,2003,6.910469483
Dominican Republic,DOM,2004,8.973915941
Dominican Republic,DOM,2005,5.878107303
Dominican Republic,DOM,2006,4.674452345
Dominican Republic,DOM,2007,4.483351641
Dominican Republic,DOM,2008,3.945982469
Dominican Republic,DOM,2009,3.549638004
Dominican Republic,DOM,2010,2.694732182
Dominican Republic,DOM,2011,2.911942917
Dominican Republic,DOM,2012,2.598818077
Dominican Republic,DOM,2013,2.165482691
Dominican Republic,DOM,2014,2.079123976
Dominican Republic,DOM,2015,1.780836172
Dominican Republic,DOM,2016,1.63652686
Dominican Republic,DOM,2017,0.691955384
Dominican Republic,DOM,2018,0.434985186
Dominican Republic,DOM,2019,0.565464151
Dominican Republic,DOM,2020,0.768215806
East Asia and Pacific,,1981,80.21210437
East Asia and Pacific,,1982,77.99400213
East Asia and Pacific,,1983,74.82061585
East Asia and Pacific,,1984,69.7119562
East Asia and Pacific,,1985,65.68516536
East Asia and Pacific,,1986,62.75879815
East Asia and Pacific,,1987,58.77777331
East Asia and Pacific,,1988,53.26276425
East Asia and Pacific,,1989,63.35577629
East Asia and Pacific,,1990,60.86799625
East Asia and Pacific,,1991,58.87059366
East Asia and Pacific,,1992,56.14231851
East Asia and Pacific,,1993,53.23657864
East Asia and Pacific,,1994,49.71809634
East Asia and Pacific,,1995,44.57906357
East Asia and Pacific,,1996,40.22205553
East Asia and Pacific,,1997,40.13168119
East Asia and Pacific,,1998,41.4232103
East Asia and Pacific,,1999,37.87169391
East Asia and Pacific,,2000,34.78941147
East Asia and Pacific,,2001,32.7318725
East Asia and Pacific,,2002,29.07886657
East Asia and Pacific,,2003,25.87483932
East Asia and Pacific,,2004,22.48763808
East Asia and Pacific,,2005,18.31038711
East Asia and Pacific,,2006,17.84864506
East Asia and Pacific,,2007,15.70324617
East Asia and Pacific,,2008,14.73357909
East Asia and Pacific,,2009,12.85479214
East Asia and Pacific,,2010,10.76985732
East Asia and Pacific,,2011,8.134406501
East Asia and Pacific,,2012,6.861056756
East Asia and Pacific,,2013,3.253936578
East Asia and Pacific,,2014,2.649031225
East Asia and Pacific,,2015,2.056365019
East Asia and Pacific,,2016,1.718488674
East Asia and Pacific,,2017,1.45363665
East Asia and Pacific,,2018,1.196224095
East Asia and Pacific,,2019,0.871351415
Ecuador,ECU,1994,17.3190412
Ecuador,ECU,1999,21.8834155
Ecuador,ECU,2000,28.43041764
Ecuador,ECU,2003,14.86874563
Ecuador,ECU,2004,15.05880541
Ecuador,ECU,2005,11.80350743
Ecuador,ECU,2006,8.163712192
Ecuador,ECU,2007,8.527814166
Ecuador,ECU,2008,7.513952554
Ecuador,ECU,2009,7.321059239
Ecuador,ECU,2010,5.696000915
Ecuador,ECU,2011,4.687120241
Ecuador,ECU,2012,4.493923957
Ecuador,ECU,2013,3.244499318
Ecuador,ECU,2014,2.636244396
Ecuador,ECU,2015,3.453474507
Ecuador,ECU,2016,3.577467799
Ecuador,ECU,2017,3.223415003
Ecuador,ECU,2018,3.32632324
Ecuador,ECU,2019,3.583584169
Ecuador,ECU,2020,6.519245122
Ecuador - urban,,1987,17.67398538
Ecuador - urban,,1995,13.80884002
Ecuador - urban,,1998,15.98993932
Egypt,EGY,1990,8.650849609
Egypt,EGY,1995,5.611906738
Egypt,EGY,1999,2.37769043
Egypt,EGY,2004,5.165729768
Egypt,EGY,2008,4.683732782
Egypt,EGY,2010,2.151346704
Egypt,EGY,2012,1.484347328
Egypt,EGY,2015,1.609676813
Egypt,EGY,2017,3.805964795
El Salvador,SLV,1989,18.20704346
El Salvador,SLV,1991,20.91238594
El Salvador,SLV,1995,12.67043222
El Salvador,SLV,1996,14.50996966
El Salvador,SLV,1998,20.31091199
El Salvador,SLV,1999,16.45208759
El Salvador,SLV,2000,12.39665628
El Salvador,SLV,2001,13.62054352
El Salvador,SLV,2002,14.14015845
El Salvador,SLV,2003,15.08336616
El Salvador,SLV,2004,11.03137279
El Salvador,SLV,2005,10.56160005
El Salvador,SLV,2006,7.073039316
El Salvador,SLV,2007,4.688561907
El Salvador,SLV,2008,7.008568141
El Salvador,SLV,2009,6.78598745
El Salvador,SLV,2010,5.715199084
El Salvador,SLV,2011,4.738093773
El Salvador,SLV,2012,4.21987284
El Salvador,SLV,2013,3.361626439
El Salvador,SLV,2014,3.099384317
El Salvador,SLV,2015,1.98958891
El Salvador,SLV,2016,2.323180548
El Salvador,SLV,2017,1.904774933
El Salvador,SLV,2018,1.5152307
El Salvador,SLV,2019,1.252254607
Estonia,EST,1993,1.16333374
Estonia,EST,1995,0.467672119
Estonia,EST,1998,0.113739014
Estonia,EST,2000,1.28658428
Estonia,EST,2001,0.996882065
Estonia,EST,2002,0.992722648
Estonia,EST,2003,0.959509932
Estonia,EST,2004,0.453158972
Estonia,EST,2005,0.75822227
Estonia,EST,2006,0.708870218
Estonia,EST,2007,0.425323708
Estonia,EST,2008,0.354406549
Estonia,EST,2009,0.555037059
Estonia,EST,2010,0.707029221
Estonia,EST,2011,0.97961551
Estonia,EST,2012,0.715480099
Estonia,EST,2013,0.834950094
Estonia,EST,2014,0.677464118
Estonia,EST,2015,0.586831506
Estonia,EST,2016,0.470058617
Estonia,EST,2017,0.268706029
Estonia,EST,2018,0.227362395
Estonia,EST,2019,0.483992557
Eswatini,SWZ,1994,82.06145752
Eswatini,SWZ,2000,48.93852204
Eswatini,SWZ,2009,43.00034034
Eswatini,SWZ,2016,29.16769713
Ethiopia,ETH,1995,68.95866736
Ethiopia,ETH,1999,57.82763999
Ethiopia,ETH,2004,38.5482828
Ethiopia,ETH,2010,35.5733797
Ethiopia,ETH,2015,30.79951005
Ethiopia - rural,,1981,71.24819092
Europe and Central Asia,,1990,2.281280978
Europe and Central Asia,,1991,2.762146159
Europe and Central Asia,,1992,4.205194645
Europe and Central Asia,,1993,5.149166846
Europe and Central Asia,,1994,6.714918891
Europe and Central Asia,,1995,6.774952721
Europe and Central Asia,,1996,6.81657964
Europe and Central Asia,,1997,5.987140694
Europe and Central Asia,,1998,5.996871821
Europe and Central Asia,,1999,7.845749125
Europe and Central Asia,,2000,7.424145402
Europe and Central Asia,,2001,6.62280811
Europe and Central Asia,,2002,5.734049548
Europe and Central Asia,,2003,5.795372914
Europe and Central Asia,,2004,4.82782052
Europe and Central Asia,,2005,4.698250197
Europe and Central Asia,,2006,3.968135848
Europe and Central Asia,,2007,3.319170711
Europe and Central Asia,,2008,2.705417788
Europe and Central Asia,,2009,2.500473585
Europe and Central Asia,,2010,2.372588134
Europe and Central Asia,,2011,2.04848255
Europe and Central Asia,,2012,1.898929897
Europe and Central Asia,,2013,1.638557971
Europe and Central Asia,,2014,1.833010713
Europe and Central Asia,,2015,1.536664119
Europe and Central Asia,,2016,1.320907172
Europe and Central Asia,,2017,1.31691542
Europe and Central Asia,,2018,0.994396519
Europe and Central Asia,,2019,1.05317833
Fiji,FJI,2002,2.264135816
Fiji,FJI,2008,1.625756415
Fiji,FJI,2013,0.480591235
Fiji,FJI,2019,1.846358882
Finland,FIN,1987,0
Finland,FIN,1991,0
Finland,FIN,1995,0
Finland,FIN,2000,0
Finland,FIN,2003,0.049275037
Finland,FIN,2004,0.037976076
Finland,FIN,2005,0.055315241
Finland,FIN,2006,0.080375466
Finland,FIN,2007,0.063742586
Finland,FIN,2008,0.053872227
Finland,FIN,2009,0.052470086
Finland,FIN,2010,0.048855014
Finland,FIN,2011,0.047390878
Finland,FIN,2012,0.052725158
Finland,FIN,2013,0.085137585
Finland,FIN,2014,0.06616784
Finland,FIN,2015,0.07020851
Finland,FIN,2016,0.046431609
Finland,FIN,2017,0.065777735
Finland,FIN,2018,0.056774256
Finland,FIN,2019,0.03882923
France,FRA,1978,0.990547969
France,FRA,1984,1.497783578
France,FRA,1989,0.989945703
France,FRA,1994,0
France,FRA,2000,0
France,FRA,2003,0.157357503
France,FRA,2004,0.045593246
France,FRA,2005,0.043055452
France,FRA,2006,0.027628508
France,FRA,2007,0.014867865
France,FRA,2008,0.009692239
France,FRA,2009,0.044348998
France,FRA,2010,0.082015695
France,FRA,2011,0.025783392
France,FRA,2012,0.053500022
France,FRA,2013,0.060390084
France,FRA,2014,0.018678668
France,FRA,2015,0.133555046
France,FRA,2016,0.058125883
